
Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,87,165,87,41,87,87,21,4,2,475,207,118,No
4.0.0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,190,251,190,50,182,190,36,5,2,476,207,95,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,444,452,179,32,278,107,19,14,3,447,171,31,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,48,24,14,8,10,10,3,3,3,254,171,84,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,120,11,5,2,5,3,1,4,2,232,171,58,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,345,109,47,12,-16,7,-1,9,3,400,171,44,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,82,47,41,9,43,40,8,5,3,332,171,66,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,432,50,31,7,5,6,0,7,3,397,171,56,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,84,18,10,3,11,10,2,5,3,386,171,77,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,123,11,11,3,5,5,1,3,3,266,171,88,Yes
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,83,0,0,0,0,0,0,1,1,56,56,56,No
4.0.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,26,28,22,5,3,3,0,5,3,256,171,51,Yes
