Release,Filename,size,LOC_added,MAX_LOC_added,AVG_LOC_Added,CHURN,MAX_Churn,AVG_Churn,NR,NAUTH,CHGSETSIZE,MAX_ChgSet,AVG_ChgSet,BUGGYNESS
0.9.0.1,storm-core/src/jvm/backtype/storm/Config.java,225,744,141,21,150,141,4,35,10,1407,434,40,Yes
0.9.0.1,storm-core/src/jvm/backtype/storm/ConfigValidation.java,48,64,48,12,52,48,10,5,3,8,2,1,Yes
0.9.0.1,storm-core/src/jvm/backtype/storm/Constants.java,13,3,3,1,3,3,1,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/ILocalCluster.java,26,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/ILocalDRPC.java,7,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/StormSubmitter.java,112,0,0,0,0,0,0,3,2,1302,434,434,Yes
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/ClojureBolt.java,87,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/ClojureSpout.java,110,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/RichShellBolt.java,29,2,1,0,0,0,0,5,3,1318,434,263,No
0.9.0.1,storm-core/src/jvm/backtype/storm/clojure/RichShellSpout.java,29,2,1,0,0,0,0,5,3,1318,434,263,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchBoltExecutor.java,77,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollector.java,14,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchOutputCollectorImpl.java,28,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/BatchSubtopologyBuilder.java,364,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/CoordinatedBolt.java,317,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/coordination/IBatchBolt.java,11,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/daemon/Shutdownable.java,4,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/DRPCInvocationsClient.java,64,0,0,0,0,0,0,3,2,1302,434,434,No
0.9.0.1,storm-core/src/jvm/backtype/storm/drpc/DRPCSpout.java,135,0,0,0,0,0,0,3,2,1302,434,434,No
