DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
BOOKKEEPER,1,50.11337868480726,RandomForest,false,false,false,NaN,0.0,0.5,0.0,0.0,0.0,135.0,85.0,0.40476190476190477,850
BOOKKEEPER,1,50.11337868480726,RandomForest,true,false,false,NaN,0.0,0.5,0.0,0.0,0.0,270.0,170.0,0.40476190476190477,1700
BOOKKEEPER,1,50.11337868480726,RandomForest,true,true,false,NaN,0.0,0.5,0.0,0.0,0.0,405.0,255.0,0.40476190476190477,2550
BOOKKEEPER,1,50.11337868480726,RandomForest,true,false,true,NaN,0.0,0.5,0.0,0.0,0.0,540.0,340.0,0.40476190476190477,3400
BOOKKEEPER,1,50.11337868480726,NaiveBayes,false,false,false,0.14634146341463414,0.02823529411764706,0.4566692810457516,-0.08872950819672121,12.0,70.0,605.0,413.0,0.27380952380952384,4200
BOOKKEEPER,1,50.11337868480726,NaiveBayes,true,false,false,0.14634146341463414,0.023529411764705882,0.44974703461631566,-0.07446259673258811,12.0,70.0,740.0,498.0,0.34523809523809523,5050
BOOKKEEPER,1,50.11337868480726,NaiveBayes,true,true,false,0.14634146341463414,0.020168067226890758,0.4381610421946556,-0.06414814814814791,12.0,70.0,875.0,583.0,0.34523809523809523,5900
BOOKKEEPER,1,50.11337868480726,NaiveBayes,true,false,true,0.14634146341463414,0.01764705882352941,0.42583946078431373,-0.056343526350032654,12.0,70.0,1010.0,668.0,0.34523809523809523,6750
BOOKKEEPER,1,50.11337868480726,IBk,false,false,false,0.14634146341463414,0.01568627450980392,0.4234476451760402,-0.050232018561484904,12.0,70.0,1145.0,753.0,0.40476190476190477,7600
BOOKKEEPER,1,50.11337868480726,IBk,true,false,false,0.14634146341463414,0.01411764705882353,0.4269511982570806,-0.04531658817373113,12.0,70.0,1280.0,838.0,0.36904761904761907,8450
BOOKKEEPER,1,50.11337868480726,IBk,true,true,false,0.14634146341463414,0.012834224598930482,0.43336970417184323,-0.04127740705433755,12.0,70.0,1415.0,923.0,0.36904761904761907,9300
BOOKKEEPER,1,50.11337868480726,IBk,true,false,true,0.14634146341463414,0.011764705882352941,0.44116043330912613,-0.03789934354485775,12.0,70.0,1550.0,1008.0,0.36904761904761907,10150
BOOKKEEPER,2,57.421875,RandomForest,false,false,false,0.4295774647887324,0.7176470588235294,0.779022848808945,0.3145201541256565,61.0,81.0,161.0,24.0,0.3176470588235294,321
BOOKKEEPER,2,57.421875,RandomForest,true,false,false,0.43859649122807015,0.7352941176470589,0.7863757899854157,0.3318881746150396,125.0,160.0,324.0,45.0,0.36904761904761907,610
BOOKKEEPER,2,57.421875,RandomForest,true,true,false,0.42701525054466233,0.7686274509803922,0.7906363096202669,0.3226416550872317,196.0,263.0,463.0,59.0,0.3176470588235294,853
BOOKKEEPER,2,57.421875,RandomForest,true,false,true,0.45294117647058824,0.6794117647058824,0.7715726786582402,0.33659607843137257,231.0,279.0,689.0,109.0,0.38095238095238093,1369
BOOKKEEPER,2,57.421875,NaiveBayes,false,false,false,0.375609756097561,0.7247058823529412,0.7474739912493923,0.2317090936256839,308.0,512.0,698.0,117.0,0.3176470588235294,1682
BOOKKEEPER,2,57.421875,NaiveBayes,true,false,false,0.3900226757369615,0.6745098039215687,0.7405687894992707,0.2458230137201714,344.0,538.0,914.0,166.0,0.3176470588235294,2198
BOOKKEEPER,2,57.421875,NaiveBayes,true,true,false,0.40702479338842973,0.6621848739495798,0.744867203079579,0.2687012503571005,394.0,574.0,1120.0,201.0,0.3058823529411765,2584
BOOKKEEPER,2,57.421875,NaiveBayes,true,false,true,0.41674876847290643,0.6220588235294118,0.7326263976665046,0.2726955975007532,423.0,592.0,1344.0,257.0,0.2857142857142857,3162
BOOKKEEPER,2,57.421875,IBk,false,false,false,0.4161598609904431,0.6261437908496732,0.7241701026906018,0.27293193644368746,479.0,672.0,1506.0,286.0,0.36470588235294116,3532
BOOKKEEPER,2,57.421875,IBk,true,false,false,0.4174454828660436,0.6305882352941177,0.7200853184248907,0.27581547239217763,536.0,748.0,1672.0,314.0,0.38095238095238093,3888
BOOKKEEPER,2,57.421875,IBk,true,true,false,0.4160331720801659,0.6438502673796791,0.7185205125011551,0.2771839887113359,602.0,845.0,1817.0,333.0,0.36904761904761907,4175
BOOKKEEPER,2,57.421875,IBk,true,false,true,0.4178820545339252,0.6460784313725491,0.7166058985577702,0.2803095354043594,659.0,918.0,1986.0,361.0,0.40476190476190477,4528
BOOKKEEPER,3,68.20603907637656,RandomForest,false,false,false,0.4157303370786517,0.6727272727272727,0.7757275727572758,0.39993295340261487,37.0,52.0,251.0,18.0,0.4074074074074074,232
BOOKKEEPER,3,68.20603907637656,RandomForest,true,false,false,0.40764331210191085,0.5818181818181818,0.7615961596159616,0.36459982634455307,64.0,93.0,513.0,46.0,0.43636363636363634,553
BOOKKEEPER,3,68.20603907637656,RandomForest,true,true,false,0.3527272727272727,0.5878787878787879,0.7505783911724506,0.3080223147638876,97.0,178.0,731.0,68.0,0.41818181818181815,858
BOOKKEEPER,3,68.20603907637656,RandomForest,true,false,true,0.35507246376811596,0.44545454545454544,0.7269464446444645,0.2704200858648988,98.0,178.0,1034.0,122.0,0.4,1398
BOOKKEEPER,3,68.20603907637656,NaiveBayes,false,false,false,0.33793103448275863,0.3563636363636364,0.6848268826882689,0.22461701003697837,98.0,192.0,1323.0,177.0,0.03636363636363636,1962
BOOKKEEPER,3,68.20603907637656,NaiveBayes,true,false,false,0.33557046979865773,0.30303030303030304,0.676004267093376,0.2021411759805045,100.0,198.0,1620.0,230.0,0.2727272727272727,2498
BOOKKEEPER,3,68.20603907637656,NaiveBayes,true,true,false,0.3344262295081967,0.2649350649350649,0.6642627528058929,0.18495338923502153,102.0,203.0,1918.0,283.0,0.32727272727272727,3033
BOOKKEEPER,3,68.20603907637656,NaiveBayes,true,false,true,0.3322475570032573,0.2318181818181818,0.6494074407440744,0.16803334816995916,102.0,205.0,2219.0,338.0,0.09090909090909091,3585
