DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST
STORM,1,66.27497062279672,RandomForest,false,false,false,NaN,0.0,0.5,0.0,0.0,0.0,540.0,34.0,0.38235294117647056,340
STORM,1,66.27497062279672,RandomForest,true,false,false,NaN,0.0,0.5,0.0,0.0,0.0,540.0,34.0,0.38235294117647056,340
STORM,1,66.27497062279672,RandomForest,true,true,false,NaN,0.0,0.5,0.0,0.0,0.0,540.0,34.0,0.38235294117647056,340
STORM,1,66.27497062279672,RandomForest,true,false,true,NaN,0.0,0.5,0.0,0.0,0.0,540.0,34.0,0.38235294117647056,340
STORM,1,66.27497062279672,NaiveBayes,false,false,false,0.0,0.0,0.21688453159041393,-0.06579842041947763,0.0,37.0,503.0,34.0,0.20588235294117646,377
STORM,1,66.27497062279672,NaiveBayes,true,false,false,NaN,0.0,0.25217864923747274,0.0,0.0,0.0,540.0,34.0,0.38235294117647056,340
STORM,1,66.27497062279672,NaiveBayes,true,true,false,NaN,0.0,0.25217864923747274,0.0,0.0,0.0,540.0,34.0,0.38235294117647056,340
STORM,1,66.27497062279672,NaiveBayes,true,false,true,NaN,0.0,0.25217864923747274,0.0,0.0,0.0,540.0,34.0,0.38235294117647056,340
STORM,1,66.27497062279672,IBk,false,false,false,NaN,0.0,0.7475217864923748,0.0,0.0,0.0,540.0,34.0,0.5882352941176471,340
STORM,1,66.27497062279672,IBk,true,false,false,NaN,0.0,0.7663671023965142,0.0,0.0,0.0,540.0,34.0,0.5882352941176471,340
STORM,1,66.27497062279672,IBk,true,true,false,NaN,0.0,0.7663671023965142,0.0,0.0,0.0,540.0,34.0,0.5882352941176471,340
STORM,1,66.27497062279672,IBk,true,false,true,NaN,0.0,0.7663671023965142,0.0,0.0,0.0,540.0,34.0,0.5882352941176471,340
STORM,2,71.12411199331383,RandomForest,false,false,false,0.7833333333333333,0.47,0.7917174280879865,0.5372767857142854,47.0,13.0,578.0,53.0,0.37373737373737376,543
STORM,2,71.12411199331383,RandomForest,true,false,false,0.14742014742014742,0.6,0.5974280879864636,0.0056518812956194465,60.0,347.0,244.0,40.0,0.26262626262626265,747
STORM,2,71.12411199331383,RandomForest,true,true,false,0.1759465478841871,0.79,0.680989847715736,0.06692245794466756,79.0,370.0,221.0,21.0,0.30303030303030304,580
STORM,2,71.12411199331383,RandomForest,true,false,true,NaN,0.0,0.5403976311336718,0.0,0.0,0.0,591.0,100.0,0.24242424242424243,1000
STORM,2,71.12411199331383,NaiveBayes,false,false,false,0.024793388429752067,0.09,0.20344331641285957,-0.24324291542171897,9.0,354.0,237.0,91.0,0.10101010101010101,1264
STORM,2,71.12411199331383,NaiveBayes,true,false,false,0.12106537530266344,0.5,0.6027072758037225,-0.04965371133906864,50.0,363.0,228.0,50.0,0.3434343434343434,863
STORM,2,71.12411199331383,NaiveBayes,true,true,false,0.15242494226327943,0.66,0.6253807106598985,0.016371852624927675,66.0,367.0,224.0,34.0,0.31313131313131315,707
STORM,2,71.12411199331383,NaiveBayes,true,false,true,1.0,0.07,0.6027072758037225,0.11406592497621887,7.0,0.0,591.0,93.0,0.36363636363636365,930
STORM,2,71.12411199331383,IBk,false,false,false,0.8028169014084507,0.57,0.7834771573604061,0.6211367724435126,57.0,14.0,577.0,43.0,0.48484848484848486,444
STORM,2,71.12411199331383,IBk,true,false,false,0.14532019704433496,0.59,0.4928087986463621,0.0012590986641633744,59.0,347.0,244.0,41.0,0.23232323232323232,757
STORM,2,71.12411199331383,IBk,true,true,false,0.1552511415525114,0.68,0.5043147208121828,0.022438220989731097,68.0,370.0,221.0,32.0,0.26262626262626265,690
STORM,2,71.12411199331383,IBk,true,false,true,0.14532019704433496,0.59,0.4928087986463621,0.0012590986641633744,59.0,347.0,244.0,41.0,0.23232323232323232,757
STORM,3,53.22508896797153,RandomForest,false,false,false,0.7272727272727273,0.07142857142857142,0.7103192042763866,0.12171503288382353,8.0,3.0,1988.0,104.0,0.5446428571428571,1043
STORM,3,53.22508896797153,RandomForest,true,false,false,0.27631578947368424,0.1875,0.6600797338021095,0.18846011524026032,21.0,55.0,1936.0,91.0,0.4642857142857143,965
STORM,3,53.22508896797153,RandomForest,true,true,false,0.3394495412844037,0.33035714285714285,0.8063450706751811,0.29796047208224424,37.0,72.0,1919.0,75.0,0.5267857142857143,822
STORM,3,53.22508896797153,RandomForest,true,false,true,0.6666666666666666,0.07142857142857142,0.7609331276458349,0.11996094294880763,8.0,4.0,1987.0,104.0,0.4774774774774775,1044
STORM,3,53.22508896797153,NaiveBayes,false,false,false,0.5714285714285714,0.21428571428571427,0.8293862560091841,0.29109504092808425,24.0,18.0,1973.0,88.0,0.5357142857142857,898
STORM,3,53.22508896797153,NaiveBayes,true,false,false,0.1111111111111111,0.008928571428571428,0.8418620398938078,0.008675088236341779,1.0,8.0,1983.0,111.0,0.375,1118
STORM,3,53.22508896797153,NaiveBayes,true,true,false,0.21787709497206703,0.3482142857142857,0.8447208868479587,0.2167214278594871,39.0,140.0,1851.0,73.0,0.35714285714285715,870
STORM,3,53.22508896797153,NaiveBayes,true,false,true,0.125,0.008928571428571428,0.8418620398938078,0.009634111299127184,1.0,7.0,1984.0,111.0,0.3482142857142857,1117
STORM,3,53.22508896797153,IBk,false,false,false,0.125,0.008928571428571428,0.7404615412212098,0.009634111299127184,1.0,7.0,1984.0,111.0,0.41964285714285715,1117
STORM,3,53.22508896797153,IBk,true,false,false,0.2876712328767123,0.1875,0.7556750914831025,0.19311355154103896,21.0,52.0,1939.0,91.0,0.4107142857142857,962
